country,region,fragility.Average_HumanRights,fragility.Volatility_HumanRights
Afghanistan,South Asia,0.0034877664691115307,0.05187694221646671
Albania,Europe,-0.024622057547819542,0.1703033153594599
Algeria,Africa,-0.004892791633490212,0.07264403183997148
Angola,Africa,-0.012484595041411639,0.07395434308121455
Antigua and Barbuda,Central America and the Caribbean,-0.02284421680667781,0.11299913714302043
Argentina,South America,-0.018363477546478713,0.10909011685194601
Armenia,Central Asia,-0.00199222180861236,0.0793007279530592
Australia,Australia and Oceania,-0.007491408553329859,0.1540552480059348
Austria,Europe,-0.0748046212731942,0.4132972455779663
Azerbaijan,Central Asia,0.013212616554775902,0.0982851660826094
Bahamas,Central America and the Caribbean,0.0256653964664324,0.18854087447721735
Bahrain,Middle East,0.03923517329065662,0.21450477030860984
Bangladesh,South Asia,-0.003889439140286499,0.04509348520642724
Barbados,Central America and the Caribbean,-0.008903925895985432,0.09720324538987284
Belarus,Europe,0.007580420341720684,0.045458222504892745
Belgium,Europe,-0.023568704168698162,0.2712436676302117
Belize,Central America and the Caribbean,0.02453140856895919,0.15027103687408827
Benin,Africa,0.010160105556126009,0.06482055978189581
Bhutan,South Asia,-0.031397946429320034,0.17747065745057153
Bolivia,South America,-0.009463253703739016,0.06613484963883054
Bosnia and Herzegovina,Europe,-0.01222418761226629,0.10562571500781505
Botswana,Africa,0.0011891009686981757,0.041751107260656624
Brazil,South America,0.023757580822594937,0.15132280125570505
Brunei Darussalam,East and Southeast Asia,-0.002903278289695388,0.064756304461072
Bulgaria,Europe,-0.02475229901662246,0.18695583871533572
Burkina Faso,Africa,0.004368808017071402,0.06918295196260207
Burundi,Africa,0.008083032894427467,0.07290311331039025
Cabo Verde,Africa,-0.061959171947178926,0.30666314587575494
Cambodia,East and Southeast Asia,0.010925969116231116,0.05021913505458898
Cameroon,Africa,0.0008117011413517616,0.041548891186820924
Canada,North America,0.014002349511784029,0.17266517270799597
Central African Republic,Africa,0.011439726709838505,0.07005308978709512
Chad,Africa,-0.004697327455581379,0.052818327408782915
Chile,South America,0.0,0.07748769954703823
China,East and Southeast Asia,0.002561222100803562,0.039426973528073825
Colombia,South America,-0.0007788275415617774,0.04103041361574602
Comoros,Africa,-0.009120867361083529,0.07491276618661294
Congo Democratic Republic,Africa,-0.0012508287341586044,0.03883280329027643
Congo Republic,Africa,-0.005782077414065112,0.05192263935940653
Costa Rica,Central America and the Caribbean,-0.06102567387237878,0.4122774480782729
Cote d'Ivoire,Africa,-0.018023150492775364,0.09593774774853968
Croatia,Europe,-0.047813780203989076,0.23345899147138974
Cuba,Central America and the Caribbean,-0.016087189453407147,0.07598056313176163
Cyprus,Europe,-0.009026699555267914,0.1041455574210151
