country,region,c1_security_apparatus_variability,c1_security_apparatus_growth,c2_factionalized_elites_variability,c2_factionalized_elites_growth,c3_group_grievance_variability,c3_group_grievance_growth,e1_economy_variability,e1_economy_growth,e2_economic_inequality_variability,e2_economic_inequality_growth,e3_human_flight_and_brain_drain_variability,e3_human_flight_and_brain_drain_growth,p1_state_legitimacy_variability,p1_state_legitimacy_growth,p2_public_services_variability,p2_public_services_growth,p3_human_rights_variability,p3_human_rights_growth,s1_demographic_pressures_variability,s1_demographic_pressures_growth,s2_refugees_and_idps_variability,s2_refugees_and_idps_growth,x1_external_intervention_variability,x1_external_intervention_growth
Afghanistan,South Asia,0.04705642639896212,0.009930853414276797,0.04692570786704803,0.004946398175628586,0.08492396737313093,-0.0053982531763294705,0.061248249005229224,0.014627125596544888,0.0443638124115764,0.0014535620216371559,0.06912213410560179,0.011486409982173873,0.04579889981963796,0.0073476966089891516,0.07575201884963523,0.013212616554775902,0.05187694221646671,0.0034877664691115307,0.042037163294295785,0.00900149102218406,0.03921231944276374,-0.006449751378635682,0.08214946705996473,-0.01525681519397748
Albania,Europe,0.0752622044943601,-0.007975798141679147,0.07812088772800979,0.019030095301781014,0.11746967817892677,-0.014674466614694848,0.08565812846088876,-0.008062695862820712,0.29786531815421513,-0.041865939092044946,0.07646097538331151,0.011486409982173873,0.12154563082594912,-0.019597899175992417,0.19436513014856655,-0.034480935954100955,0.1703033153594599,-0.024622057547819542,0.22992674038003966,-0.022149400720339774,0.10549556024748785,0.0021415630640053696,0.07009478956778292,-0.005105240031661129
Algeria,Africa,0.08918109394935396,-0.009313108597865494,0.07015914308685747,0.00443471148897423,0.05835544676083377,-0.0008340422868613473,0.19191221607918693,0.03420652441703842,0.11107311599081547,-0.020540312363458213,0.06816090634972004,-0.005486427106687342,0.043576881268104994,0.0007794345866847241,0.11561147465496414,-0.024329175754334464,0.07264403183997148,-0.004892791633490212,0.12230793240043782,-0.010667491864796208,0.048617157283111556,-0.0036709137191628383,0.1778029452434851,-0.03617963156527915
Angola,Africa,0.06847584163664519,-0.0017545156905137693,0.034214730623732564,-0.006178511404421161,0.1270788255077554,0.019168063152252612,0.2405640155917159,0.03075152641278156,0.03831193545071488,-0.0013210593290390316,0.09396688977247016,0.00668866311189853,0.032958046699946696,-0.0048638775461898875,0.06681201059190024,0.008661025288389634,0.07395434308121455,-0.012484595041411639,0.04071000895998432,0.008896568269995742,0.11210556155326322,-0.027403367806263845,0.19262437450228367,-0.03705223533118218
Antigua and Barbuda,Central America and the Caribbean,0.06696340517876981,-0.0037070755461358074,0.08530044850364506,-0.013515551281278793,0.11752901326635125,-0.022720705953499842,0.16348313619143115,0.020102750691701088,0.17673410405234244,-0.02046605843643201,0.10055062503259404,-0.015030489123384005,0.15130539236066207,-0.03437139613587048,0.11022195421347228,-0.015764059409580033,0.11299913714302043,-0.02284421680667781,0.09520574519444731,-0.021045744095902874,0.1205899470680316,-0.017819451444741063,0.05214401933702598,0.007647205255568723
Argentina,South America,0.33016189574399124,0.0460566471231838,0.048567780203516195,0.0,0.13038714701117865,-0.013040319809382916,0.18276111469080977,0.026943957393307016,0.07515550462161366,0.0011211100316426137,0.14848613156274207,-0.018738886188371495,0.13049059752000333,-0.0017036962868381966,0.09990361294483358,0.00287413207759335,0.10909011685194601,-0.018363477546478713,0.1854693617562144,0.03847792859659971,0.17167667004801346,0.007885717576382456,0.16071791896405074,0.012412910342416872
Armenia,Central Asia,0.07288813109008285,0.014002349511784029,0.07554013138855344,0.005807390406874502,0.068213622946675,0.009783693878407274,0.08794145228094091,0.013445914714030893,0.24289041296136527,-0.04384167504711378,0.06655244965173253,0.0016584841759834656,0.06397328794350722,-0.006178511404421161,0.2359639226490751,-0.03740182720311125,0.0793007279530592,-0.00199222180861236,0.28460665733928076,-0.026510403888235667,0.0540252670077731,-0.002536317618952344,0.08397424671597652,0.014287102184737499
Australia,Australia and Oceania,0.3427822092484487,0.044609752639329425,0.05304079952861097,0.007389707941821699,0.11677374097678367,-0.00199222180861236,0.2601918390664945,0.0038035989884424026,0.34997967527750934,-0.0317535097156455,0.32846965115759585,-0.05247262897373173,0.35176563467797517,-0.05247262897373173,0.2563620630142868,0.04747221219760944,0.1540552480059348,-0.007491408553329859,0.35848496354299886,0.02493584429271456,0.19795794589663354,0.007389707941821699,0.3460560335354399,-0.05247262897373173
Austria,Europe,0.22036055112397707,0.019989654407636115,0.18357472661064186,0.028033004753126534,0.11169183421507214,-0.0034552228154848263,0.19222616353975666,-0.026669237338737273,0.3058195160394248,-0.03995331314520678,0.19247609089582068,0.031705673755738184,0.2776296631950354,-0.044462966806009696,0.23327948095512088,0.031705673755738184,0.4132972455779663,-0.0748046212731942,0.26067767878817716,0.021681291109137968,0.4197731971782686,0.04585189910810428,0.5541568364257445,-0.13155642444251436
Azerbaijan,Central Asia,0.07988201130756291,-0.011000938176166541,0.019252374973735418,0.003061130953006419,0.10764444854644425,-0.012446714208244614,0.16801335794695044,-0.015807549061839565,0.15535653402431046,-0.029601596065625624,0.11783713210717783,-0.004892791633490323,0.059561687304890455,0.0075186786375318615,0.0835591736218752,-0.016484210196344273,0.0982851660826094,0.013212616554775902,0.18098047565354788,-0.026510403888235667,0.07317272966080378,-0.014674466614694848,0.07605114499728234,0.0063858078621616965
